tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,Adult,Animation,Fantasy,GameShow,History,Music,Musical,News,RealityTV,SciFi,Short,Sport,TalkShow,War,Western,averageRating,numVotes,budget,revenue,isTopActor,isTopDirector,yearsSinceProduced
tt0035423,Kate & Leopold,Kate & Leopold,0,2001,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.4,81936.0,48000000,76019048,1,0,20
tt0116391,Gang,Gang,0,2000,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,236.0,30000000,41480851,0,0,21
tt0118589,Glitter,Glitter,0,2001,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.3,23292.0,22000000,5271666,0,0,20
tt0120166,The Sorcerer's Apprentice,The Sorcerer's Apprentice,0,2001,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5,565.0,150000000,215283742,0,0,20
tt0120467,Vulgar,Vulgar,0,2000,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,4078.0,120000,14904,0,0,21
tt0120630,Chicken Run,Chicken Run,0,2000,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,184276.0,45000000,224834564,1,1,21
tt0120667,Fantastic Four,Fantastic Four,0,2005,106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.7,320223.0,120000000,167977596,0,0,16
tt0120681,From Hell,From Hell,0,2001,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,151405.0,35000000,74558115,1,0,20
tt0120737,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,1744505.0,93000000,871368364,1,1,20
tt0120755,Mission: Impossible II,Mission: Impossible II,0,2000,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,327345.0,125000000,546388105,1,1,21
tt0120804,Resident Evil,Resident Evil,0,2002,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.7,259001.0,40000000,5500000,0,0,19
tt0120824,The Shipping News,The Shipping News,0,2001,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,32630.0,38000000,24690441,1,0,20
tt0120903,X-Men,X-Men,0,2000,104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.4,591067.0,178000000,543934787,1,1,21
tt0120912,Men in Black II,Men in Black II,0,2002,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,358492.0,140000000,445135288,1,0,19
tt0120913,Titan A.E.,Titan A.E.,0,2000,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,60252.0,75000000,36754634,1,0,21
tt0120917,The Emperor's New Groove,The Emperor's New Groove,0,2000,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,191669.0,100000000,169327687,1,0,21
tt0121164,Corpse Bride,Corpse Bride,0,2005,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,258690.0,40000000,118090836,1,1,16
tt0121765,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002,142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,670352.0,120000000,649398328,0,1,19
tt0121766,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005,140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,742810.0,113000000,850000000,1,1,16
tt0122459,Return to Me,Return to Me,0,2000,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,20598.0,24000000,36609995,0,0,21
tt0125022,Heartbreakers,Heartbreakers,0,2001,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,53331.0,35000000,57756408,1,0,20
tt0126029,Shrek,Shrek,0,2001,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,642630.0,60000000,487853320,0,0,20
tt0127349,Waking the Dead,Waking the Dead,0,2000,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,7105.0,8500000,327418,0,0,21
tt0128158,Deadfall,Deadfall,0,2000,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,98.0,12000000,66351,0,0,21
tt0130623,Dinosaur,Dinosaur,0,2000,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,57343.0,127500000,354248063,0,0,21
tt0131597,Split,Split,0,2004,700,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.1,23.0,9000000,278454358,0,0,17
tt0131704,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle,0,2000,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,20062.0,76000000,35134820,1,0,21
