# director_name
Ertem Egilmez
Akira Kurosawa
Alfred Hitchcock
Ingmar Bergman
Steven Spielberg
Billy Wilder
Christopher Nolan
Stanley Kubrick
Martin Scorsese
William Wyler
Yasujirô Ozu
Charles Chaplin
Quentin Tarantino
Hayao Miyazaki
Francis Ford Coppola
Mani Ratnam
Peter Jackson
Sergio Leone
Luis Buñuel
David Fincher
Howard Hawks
Fritz Lang
Sidney Lumet
Frank Capra
Masaki Kobayashi
George Cukor
John Ford
David Lean
Jean-Luc Godard
Andrei Tarkovsky
Elia Kazan
Woody Allen
Buster Keaton
Federico Fellini
Satyajit Ray
Leonid Gaidai
Michael Curtiz
Clint Eastwood
Hrishikesh Mukherjee
John Huston
Mervyn LeRoy
Eldar Ryazanov
Mario Monicelli
King Vidor
Ethan Coen
Slobodan Sijan
Ernst Lubitsch
Ridley Scott
Sam Wood
Luchino Visconti
Yimou Zhang
Kenji Mizoguchi
Frank Darabont
Richard Linklater
Robert Zemeckis
Emir Kusturica
Orson Welles
Raoul Walsh
Roman Polanski
Anurag Kashyap
Jean-Pierre Melville
James Cameron
François Truffaut
Milos Forman
Michael Powell
Georgiy Daneliya
Vishal Bhardwaj
Vittorio De Sica
Atif Yilmaz
Joseph L. Mankiewicz
Zeki Ökten
William A. Wellman
F.W. Murnau
Asghar Farhadi
George Stevens
Giuseppe Tornatore
Jean Renoir
Leo McCarey
Yavuz Turgul
Fred Zinnemann
Preston Sturges
Moustapha Akkad
Rajkumar Hirani
Edmund Goulding
Nuri Bilge Ceylan
Robert Wise
Jean-Luc Godard
Krzysztof Kieslowski
Rob Reiner
Jonathan Demme
Emeric Pressburger
Robert Bresson
Srdjan Dragojevic
Terry Gilliam
Majid Majidi
Lee Unkrich
Rajkumar Santoshi
Rainer Werner Fassbinder
Louis Malle
Nikita Mikhalkov
Ertem Egilmez
Akira Kurosawa
Alfred Hitchcock
Ingmar Bergman
Steven Spielberg
Billy Wilder
Christopher Nolan
Stanley Kubrick
Martin Scorsese
William Wyler
Yasujirô Ozu
Charles Chaplin
Quentin Tarantino
Hayao Miyazaki
Francis Ford Coppola
Mani Ratnam
Peter Jackson
Sergio Leone
Luis Buñuel
David Fincher
Howard Hawks
Fritz Lang
Sidney Lumet
Frank Capra
Masaki Kobayashi
George Cukor
John Ford
David Lean
Jean-Luc Godard
Andrei Tarkovsky
Elia Kazan
Woody Allen
Buster Keaton
Federico Fellini
Satyajit Ray
Leonid Gaidai
Michael Curtiz
Clint Eastwood
Hrishikesh Mukherjee
John Huston
Mervyn LeRoy
Eldar Ryazanov
Mario Monicelli
King Vidor
Ethan Coen
Slobodan Sijan
Ernst Lubitsch
Ridley Scott
Sam Wood
Luchino Visconti
Yimou Zhang
Kenji Mizoguchi
Frank Darabont
Richard Linklater
Robert Zemeckis
Emir Kusturica
Orson Welles
Raoul Walsh
Roman Polanski
Anurag Kashyap
Jean-Pierre Melville
James Cameron
François Truffaut
Milos Forman
Michael Powell
Georgiy Daneliya
Vishal Bhardwaj
Vittorio De Sica
Atif Yilmaz
Joseph L. Mankiewicz
Zeki Ökten
William A. Wellman
F.W. Murnau
Asghar Farhadi
George Stevens
Giuseppe Tornatore
Jean Renoir
Leo McCarey
